,id,slug,octane_id,date,number,games,event_id,stage_id,format_type,format_length,blue_games,blue_winner,blue_team_id,blue_core_shots,blue_core_goals,blue_core_saves,blue_core_assists,blue_core_score,blue_core_shootingPercentage,orange_score,orange_team_id,orange_core_shots,orange_core_goals,orange_core_saves,orange_core_assists,orange_core_score,orange_core_shootingPercentage,blue_boost_bpm,blue_boost_bcpm,blue_boost_avgAmount,blue_boost_amountCollected,blue_boost_amountStolen,blue_boost_amountCollectedBig,blue_boost_amountStolenBig,blue_boost_amountCollectedSmall,blue_boost_amountStolenSmall,blue_boost_countCollectedBig,blue_boost_countStolenBig,blue_boost_countCollectedSmall,blue_boost_countStolenSmall,blue_boost_amountOverfill,blue_boost_amountOverfillStolen,blue_boost_amountUsedWhileSupersonic,blue_boost_timeZeroBoost,blue_boost_timeFullBoost,blue_boost_timeBoost0To25,blue_boost_timeBoost25To50,blue_boost_timeBoost50To75,blue_boost_timeBoost75To100,blue_movement_totalDistance,blue_movement_timeSupersonicSpeed,blue_movement_timeBoostSpeed,blue_movement_timeSlowSpeed,blue_movement_timeGround,blue_movement_timeLowAir,blue_movement_timeHighAir,blue_movement_timePowerslide,blue_movement_countPowerslide,blue_positioning_timeDefensiveThird,blue_positioning_timeNeutralThird,blue_positioning_timeOffensiveThird,blue_positioning_timeDefensiveHalf,blue_positioning_timeOffensiveHalf,blue_positioning_timeBehindBall,blue_positioning_timeInfrontBall,blue_demo_inflicted,blue_demo_taken,orange_winner,orange_boost_bpm,orange_boost_bcpm,orange_boost_avgAmount,orange_boost_amountCollected,orange_boost_amountStolen,orange_boost_amountCollectedBig,orange_boost_amountStolenBig,orange_boost_amountCollectedSmall,orange_boost_amountStolenSmall,orange_boost_countCollectedBig,orange_boost_countStolenBig,orange_boost_countCollectedSmall,orange_boost_countStolenSmall,orange_boost_amountOverfill,orange_boost_amountOverfillStolen,orange_boost_amountUsedWhileSupersonic,orange_boost_timeZeroBoost,orange_boost_timeFullBoost,orange_boost_timeBoost0To25,orange_boost_timeBoost25To50,orange_boost_timeBoost50To75,orange_boost_timeBoost75To100,orange_movement_totalDistance,orange_movement_timeSupersonicSpeed,orange_movement_timeBoostSpeed,orange_movement_timeSlowSpeed,orange_movement_timeGround,orange_movement_timeLowAir,orange_movement_timeHighAir,orange_movement_timePowerslide,orange_movement_countPowerslide,orange_positioning_timeDefensiveThird,orange_positioning_timeNeutralThird,orange_positioning_timeOffensiveThird,orange_positioning_timeDefensiveHalf,orange_positioning_timeOffensiveHalf,orange_positioning_timeBehindBall,orange_positioning_timeInfrontBall,orange_demo_inflicted,orange_demo_taken,reverseSweepAttempt,reverseSweep
0,6043145f91504896348eae05,ae05-chasers-vs-team-synergy,1110201,2018-07-07T21:00:00Z,1,"[{'_id': '6043145f91504896348eae82', 'blue': 2, 'orange': 1, 'duration': 300}, {'_id': '6043145f91504896348eaebd', 'blue': 0, 'orange': 1, 'duration': 300}, {'_id': '6043146091504896348eaf17', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146091504896348eaf4d', 'blue': 3, 'orange': 1, 'duration': 300}, {'_id': '6043146091504896348eaf7e', 'blue': 3, 'orange': 0, 'duration': 300}, {'_id': '6043146091504896348eafa9', 'blue': 3, 'orange': 2, 'duration': 300}]",5f35882d53fbbb5894b43083,1,best,7,4.0,True,6020bd08f1e4807cc7008781,41,12,15,10,4155,29.268292682926827,2.0,6020bf0bf1e4807cc7017c3f,27,7,23,2,3405,25.925925925925924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6043145f91504896348eae0c,ae0c-lucky-bounce-vs-kings-of-urban,0010201,2016-07-09T00:00:00Z,1,"[{'_id': '6043146091504896348eaf64', 'blue': 0, 'orange': 4, 'duration': 300}, {'_id': '6043146091504896348eaf86', 'blue': 1, 'orange': 4, 'duration': 300, 'ballchasing': '60d6cdbd-8dce-40d8-a6d4-ef124302d3e1'}, {'_id': '6043146091504896348eafac', 'blue': 1, 'orange': 3, 'duration': 300, 'ballchasing': 'c881c72e-3dd9-413e-a54e-b97e59e2e3ce'}, {'_id': '6043146091504896348eafed', 'blue': 3, 'orange': 2, 'duration': 300, 'ballchasing': '433b87e3-7ad0-4073-9414-0e4945248e94'}, {'_id': '6043146091504896348eb006', 'blue': 2, 'orange': 3, 'duration': 300, 'ballchasing': 'ac184b31-4879-4423-b5de-4b70874602dc'}]",5f35882d53fbbb5894b43039,2,best,7,1.0,,6020bc70f1e4807cc70023c9,28,7,11,6,2670,25.0,4.0,6020bc70f1e4807cc700239e,37,16,15,12,3595,43.24324324324324,4361.0,4488.37983,540.4300000000001,24918.0,5363.0,17402.0,3144.0,7516.0,2219.0,195.0,34.0,647.0,195.0,2104.0,279.0,2431.0,589.8299999999999,400.71,1583.65,969.7800000000001,713.42,806.5799999999999,5672700.0,418.54,1625.0299999999997,2133.25,2543.04,1453.9299999999998,179.87,69.21,595.0,2036.58,1273.02,867.25,2690.5499999999997,1485.9499999999998,2939.21,1237.62,3.0,8.0,True,4661.0,4777.40669,585.4100000000001,26539.0,6184.0,20757.0,4466.0,5782.0,1718.0,249.0,53.0,512.0,154.0,3957.0,748.0,5483.0,469.82,490.62,1397.38,846.49,806.64,1010.94,5883130.0,565.67,1623.6599999999999,1999.41,2703.95,1348.29,136.47,76.0,534.0,1990.02,1266.25,932.45,2687.93,1500.32,3007.45,1181.28,8.0,3.0,,
2,6043145f91504896348eae36,ae36-cloud9-vs-gale-force,0200201,2017-12-03T14:00:00Z,1,"[{'_id': '6043146191504896348eb05e', 'blue': 1, 'orange': 2, 'duration': 794}, {'_id': '6043146191504896348eb062', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146191504896348eb064', 'blue': 1, 'orange': 4, 'duration': 300}, {'_id': '6043146191504896348eb065', 'blue': 4, 'orange': 2, 'duration': 300}, {'_id': '6043146191504896348eb066', 'blue': 1, 'orange': 5, 'duration': 300}]",5f35882d53fbbb5894b4306c,1,best,7,1.0,,6020bc70f1e4807cc700239d,38,8,31,6,4280,21.052631578947366,4.0,6020bc70f1e4807cc700239f,60,15,20,11,4735,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6043145f91504896348eae2e,ae2e-who-vs-canyons,1140101,2020-05-23T12:00:00Z,1,"[{'_id': '6043146291504896348eb085', 'blue': 0, 'orange': 1, 'duration': 300}, {'_id': '6043146291504896348eb086', 'blue': 0, 'orange': 1, 'duration': 300}, {'_id': '6043146291504896348eb087', 'blue': 0, 'orange': 3, 'duration': 300}]",5f35882d53fbbb5894b4313d,0,best,5,,,605d09394d63e1b16e2bf768,12,0,17,0,2571,0.0,3.0,6020bc70f1e4807cc7002487,28,5,10,3,2848,17.857142857142858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6043145f91504896348eae30,ae30-chiefs-esports-vs-avant-gaming,1120201,2018-07-08T00:00:00Z,1,"[{'_id': '6043146291504896348eb089', 'blue': 3, 'orange': 4, 'duration': 300}, {'_id': '6043146291504896348eb09d', 'blue': 0, 'orange': 1, 'duration': 300}, {'_id': '6043146291504896348eb09f', 'blue': 3, 'orange': 1, 'duration': 300}, {'_id': '6043146391504896348eb0a1', 'blue': 2, 'orange': 4, 'duration': 300}, {'_id': '6043146391504896348eb0a3', 'blue': 4, 'orange': 1, 'duration': 300}, {'_id': '6043146391504896348eb0a5', 'blue': 1, 'orange': 2, 'duration': 339}]",5f35882d53fbbb5894b43084,1,best,7,2.0,,6020bc70f1e4807cc70023ce,44,13,19,10,4260,29.545454545454547,4.0,6020bcb8f1e4807cc700554d,32,13,28,7,4280,40.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6043145f91504896348eae23,ae23-endpoint-vs-prophecy,0180201,2017-12-02T05:00:00Z,1,"[{'_id': '6043146291504896348eb088', 'blue': 3, 'orange': 2, 'duration': 306}, {'_id': '6043146291504896348eb09c', 'blue': 2, 'orange': 1, 'duration': 328}, {'_id': '6043146291504896348eb09e', 'blue': 4, 'orange': 5, 'duration': 300}, {'_id': '6043146291504896348eb0a0', 'blue': 3, 'orange': 2, 'duration': 445}, {'_id': '6043146391504896348eb0a2', 'blue': 1, 'orange': 2, 'duration': 443}, {'_id': '6043146391504896348eb0a4', 'blue': 1, 'orange': 4, 'duration': 300}, {'_id': '6043146391504896348eb0a6', 'blue': 2, 'orange': 1, 'duration': 300}]",5f35882d53fbbb5894b43064,1,best,7,4.0,True,6020bc70f1e4807cc70023d9,42,16,44,12,5890,38.095238095238095,3.0,6020bc70f1e4807cc70023a7,73,17,22,11,5940,23.28767123287671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6043145f91504896348eae0f,ae0f-nrg-esports-vs-settodestroyx,0120101,2017-06-25T00:00:00Z,1,"[{'_id': '6043146391504896348eb0f5', 'blue': 6, 'orange': 1, 'duration': 300, 'ballchasing': '652bb8f1-8579-41bf-90b6-c7028552d4cd'}, {'_id': '6043146391504896348eb0f6', 'blue': 3, 'orange': 1, 'duration': 300, 'ballchasing': '1ac9d702-434d-4055-9412-eac5aa3466c0'}, {'_id': '6043146391504896348eb0f8', 'blue': 2, 'orange': 1, 'duration': 300, 'ballchasing': '1ddb033a-4bfd-407e-ac14-12c7b1f43872'}]",5f35882d53fbbb5894b4304e,0,best,5,3.0,True,6020bc70f1e4807cc70023a0,36,11,12,9,2705,30.555555555555557,,6020bc70f1e4807cc700240a,20,3,19,2,1910,15.0,3735.0,3937.5790199999997,506.73,21980.0,5782.0,10565.0,2938.0,11415.0,2844.0,138.0,42.0,522.0,156.0,3257.0,1151.0,3289.0,221.88000000000002,484.73,789.36,619.45,670.27,997.1800000000001,4570193.0,441.58,1302.85,1398.3600000000001,1915.36,1103.71,123.70000000000002,59.67,399.0,1278.06,1017.97,846.76,1782.56,1359.97,2360.85,781.93,1.0,3.0,,3216.0,3248.63144,412.57000000000005,18125.0,2990.0,8588.0,1479.0,9537.0,1511.0,98.0,17.0,497.0,94.0,1216.0,224.0,2098.0,409.0,268.91,1204.6,676.98,541.96,646.8199999999999,4344112.0,347.91999999999996,1244.62,1551.03,1849.37,1178.12,116.1,88.69,742.0,1855.19,869.8900000000001,418.49,2336.5299999999997,806.55,2153.9700000000003,989.6099999999999,3.0,1.0,,
7,6043145f91504896348eae46,ae46-allegiance-vs-out-of-style,0390101,2017-10-28T00:00:00Z,1,"[{'_id': '6043146391504896348eb0f9', 'blue': 2, 'orange': 1, 'duration': 300, 'ballchasing': 'bae0ae91-98ab-486e-98b6-9498fab7bea0'}, {'_id': '6043146391504896348eb10d', 'blue': 0, 'orange': 3, 'duration': 300, 'ballchasing': '7cc725f9-0ceb-4b51-a4ed-6492742997b4'}, {'_id': '6043146391504896348eb10f', 'blue': 4, 'orange': 6, 'duration': 300, 'ballchasing': 'e979e57b-9bd3-445a-a49c-720517d4f5e8'}, {'_id': '6043146391504896348eb111', 'blue': 1, 'orange': 2, 'duration': 376, 'ballchasing': '2661eed9-08c3-4762-b9a0-b02f69a0600f'}, {'_id': '6043146491504896348eb113', 'blue': 0, 'orange': 3, 'duration': 300, 'ballchasing': 'f7eb2e50-4061-4cc0-acfd-e6a91d204ac0'}]",5f35882d53fbbb5894b43076,0,best,7,1.0,,6020bc70f1e4807cc7002407,41,7,21,6,3410,17.073170731707318,4.0,6020bc70f1e4807cc70024a1,42,15,27,13,4415,35.714285714285715,6166.0,6353.71282,703.22,37087.0,7653.0,26443.0,4263.0,10644.0,3390.0,310.0,48.0,925.0,286.0,4474.0,542.0,4459.0,751.44,394.65999999999997,1978.69,1354.66,992.9100000000001,1076.58,8169731.0,809.94,2362.9500000000003,2310.7799999999997,3176.06,2052.41,255.23,137.34,1102.0,2400.86,1836.92,1245.92,3327.17,2155.93,3832.69,1651.01,13.0,3.0,True,6331.0,6486.284159999999,712.63,37974.0,5959.0,27930.0,3609.0,10044.0,2350.0,324.0,45.0,881.0,204.0,4455.0,827.0,5281.0,763.74,461.02,2014.77,1154.0800000000002,862.1400000000001,1291.22,7831008.0,846.55,2128.6,2473.22,3212.3100000000004,1980.1999999999998,255.85,134.88,1256.0,3018.7099999999996,1517.12,912.5,3832.8799999999997,1615.21,4185.0199999999995,1263.3200000000002,3.0,13.0,,
8,6043145f91504896348eae25,ae25-team-envy-vs-the-juicy-kids,0400101,2017-10-29T00:00:00Z,1,"[{'_id': '6043146391504896348eb0f7', 'blue': 2, 'orange': 0, 'duration': 300, 'ballchasing': '33ae7c7d-a558-4289-acb0-382f26647e59'}, {'_id': '6043146391504896348eb0fa', 'blue': 1, 'orange': 2, 'duration': 300, 'ballchasing': '0a2eab56-97b4-4617-b00a-74f454d6e221'}, {'_id': '6043146391504896348eb10e', 'blue': 5, 'orange': 2, 'duration': 300, 'ballchasing': '5ac15431-a994-4ef4-82d3-1de7550ea58d'}, {'_id': '6043146391504896348eb110', 'blue': 4, 'orange': 0, 'duration': 300, 'ballchasing': '5d16e3c7-5f7e-4f17-af48-84a4bb6bc462'}, {'_id': '6043146391504896348eb112', 'blue': 2, 'orange': 3, 'duration': 384, 'ballchasing': '43655c81-7768-4a9f-943b-93b742b45464'}, {'_id': '6043146491504896348eb118', 'blue': 2, 'orange': 0, 'duration': 300, 'ballchasing': '42a5b13f-87ff-497f-9682-c43c27e40c25'}]",5f35882d53fbbb5894b43078,0,best,7,4.0,True,6020bc70f1e4807cc70023b2,59,16,24,13,5125,27.11864406779661,2.0,6020bce5f1e4807cc70071a9,34,7,32,3,3930,20.588235294117645,7832.0,7971.52539,877.3599999999999,45512.0,10005.0,33519.0,6386.0,11993.0,3619.0,391.0,70.0,1060.0,317.0,5334.0,560.0,6516.0,919.49,516.11,2304.1,1439.92,1088.4499999999998,1443.78,9307171.0,868.47,2669.77,2857.12,3708.2799999999997,2372.84,314.21000000000004,171.62,1507.0,2818.23,2102.73,1474.4099999999999,3909.0299999999997,2485.66,4648.620000000001,1746.69,11.0,7.0,,7393.0,7496.397729999999,787.47,42750.0,10389.0,30019.0,6793.0,12731.0,3596.0,344.0,77.0,1111.0,315.0,4476.0,909.0,6487.0,905.49,437.75,2664.0699999999997,1600.4,904.99,1076.79,9171241.0,811.2200000000001,2625.62,2943.0699999999997,3652.2,2454.71,273.02,195.51000000000002,1880.0,3346.84,1834.9999999999998,1198.0700000000002,4339.86,2039.64,4492.84,1887.06,7.0,11.0,,
9,6043145f91504896348eae0b,ae0b-nrg-esports-vs-the-muffin-men,0070301,2017-07-23T00:00:00Z,1,"[{'_id': '6043146491504896348eb116', 'blue': 1, 'orange': 2, 'duration': 300}, {'_id': '6043146491504896348eb139', 'blue': 0, 'orange': 3, 'duration': 300}, {'_id': '6043146491504896348eb161', 'blue': 1, 'orange': 2, 'duration': 300}]",5f35882d53fbbb5894b43053,2,best,5,,,6020bc70f1e4807cc70023a0,13,2,11,2,1680,15.384615384615385,3.0,6020bc70f1e4807cc70023fe,23,7,9,7,2430,30.434782608695656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
